技術担当部署,案件責任,営業/開発担当者,確度,プロジェクト名,S/L,AOコード,AOコード名,セグメント,請求先,内外,カテゴリ,ヒト/モノ,新規・継続,サービスCD,サービス名,売上1月,外注費1月,仕入1月,原価経費1月,社内人件費1月,売上総利益1月,率1月,売上2月,外注費2月,仕入2月,原価経費2月,社内人件費2月,売上総利益2月,率2月,売上3月,外注費3月,仕入3月,原価経費3月,社内人件費3月,売上総利益3月,率3月,売上4月,外注費4月,仕入4月,原価経費4月,社内人件費4月,売上総利益4月,率4月,売上5月,外注費5月,仕入5月,原価経費5月,社内人件費5月,売上総利益5月,率5月,売上6月,外注費6月,仕入6月,原価経費6月,社内人件費6月,売上総利益6月,率6月,売上7月,外注費7月,仕入7月,原価経費7月,社内人件費7月,売上総利益7月,率7月,売上8月,外注費8月,仕入8月,原価経費8月,社内人件費8月,売上総利益8月,率8月,売上9月,外注費9月,仕入9月,原価経費9月,社内人件費9月,売上総利益9月,率9月,売上10月,外注費10月,仕入10月,原価経費10月,社内人件費10月,売上総利益10月,率10月,売上11月,外注費11月,仕入11月,原価経費11月,社内人件費11月,売上総利益11月,率11月,売上12月,外注費12月,仕入12月,原価経費12月,社内人件費12月,売上総利益12月,率12月
ＯＰＣ,開発,藤後,A0,(バスケツト原価),5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,金融,ISID,内,OPC,ヒト,継続,F41,IntraLinkなど上記以外,0,1376000,,890645,2632869,-4899514,0,0,3376000,,913192,2554547,-6843739,0,0,3038214,,944500,2465288,-6448002,0,0,489000,,527768,1871990,-2888758,0,0,489000,,539263,1671915,-2700178,0,0,500000,,500000,2050000,-3050000,0,0,500000,,500000,2050000,-3050000,0,0,500000,,500000,2050000,-3050000,0,0,500000,,500000,2050000,-3050000,0,0,500000,,500000,2050000,-3050000,0,0,500000,,500000,2050000,-3050000,0,0,500000,,500000,2050000,-3050000,0
ＯＰＣ,,,,(ヘルプデスク　金融）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＯＰＣ,開発,藤後,A0,ISID金融事業部BANK･Rソリューションヘルプデスク業務,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,金融,ISID,内,OPC,ヒト,継続,F41,IntraLinkなど上記以外,1428833,0,0,0,0,1428833,1,1428833,0,0,0,0,1428833,1,1428834,0,0,0,0,1428834,1,1428833,0,0,0,0,1428833,1,1428833,0,0,0,0,1428833,1,1428834,0,0,0,0,1428834,1,1428833,0,0,0,0,1428833,1,1428833,0,0,0,0,1428833,1,1428834,0,0,0,0,1428834,1,1428833,0,0,0,0,1428833,1,1428833,0,0,0,0,1428833,1,1428834,0,0,0,0,1428834,1
ＯＰＣ,開発,藤後,A0,りそなカード様ＡＣＳシステム保守,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,金融,ISID,内,OPC,ヒト,継続,F41,IntraLinkなど上記以外,12000,0,0,0,0,12000,1,12000,0,0,0,0,12000,1,12000,0,0,0,0,12000,1,12000,0,0,0,0,12000,1,12000,0,0,0,0,12000,1,12000,0,0,0,0,12000,1,12000,0,0,0,0,12000,1,12000,0,0,0,0,12000,1,12000,0,0,0,0,12000,1,12000,0,0,0,0,12000,1,12000,0,0,0,0,12000,1,12000,0,0,0,0,12000,1
ＯＰＣ,開発,藤後,A0,ISID金融事業部ダイレクトチャネルヘルプデスク,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,金融,ISID,内,OPC,ヒト,継続,F41,IntraLinkなど上記以外,477000,0,0,0,0,477000,1,477000,0,0,0,0,477000,1,477000,0,0,0,0,477000,1,477000,0,0,0,0,477000,1,477000,0,0,0,0,477000,1,477000,0,0,0,0,477000,1,477000,0,0,0,0,477000,1,477000,0,0,0,0,477000,1,477000,0,0,0,0,477000,1,477000,0,0,0,0,477000,1,477000,0,0,0,0,477000,1,477000,0,0,0,0,477000,1
ＯＰＣ,開発,藤後,A0,LiveEngageご利用顧客向けサポートデスク業務,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,金融,ISID,内,OPC,ヒト,継続,F41,IntraLinkなど上記以外,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1
ＯＰＣ,開発,藤後,A0,セブン銀行DBSシステム向けヘルプデスク運用サービス,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,金融,ISID,内,OPC,ヒト,継続,F41,IntraLinkなど上記以外,926000,0,0,0,0,926000,1,926000,0,0,0,0,926000,1,926000,0,0,0,0,926000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ＯＰＣ,開発,藤後,A0,セブン銀行債権システム向けヘルプデスク運用サービス,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,金融,ISID,内,OPC,ヒト,継続,F41,IntraLinkなど上記以外,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505000,0,0,0,0,505000,1,305000,0,0,0,0,305000,1,305000,0,0,0,0,305000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ＯＰＣ,開発,藤後,A0,セブン銀行DBSデータ連携システム向けヘルプデスク運用サービス,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,金融,ISID,内,OPC,ヒト,継続,F41,IntraLinkなど上記以外,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180000,0,0,0,0,180000,1,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1,100000,0,0,0,0,100000,1
ＯＰＣ,開発,藤後,A0,セブン銀行テレフォンセンター向けヘルプデスク業務,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,金融,ISID,内,OPC,ヒト,継続,F41,IntraLinkなど上記以外,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,100000,1,200000,0,0,0,0,200000,1,200000,0,0,0,0,200000,1,200000,0,0,0,0,200000,1,200000,0,0,0,0,200000,1,200000,0,0,0,0,200000,1,200000,0,0,0,0,200000,1,200000,0,0,0,0,200000,1,200000,0,0,0,0,200000,1,200000,0,0,0,0,200000,1
