汎用識別CD,汎用識別CDの名称,汎用識別CDの略称
1,コンサルテイングサービス,コンサルテイングサービス
101,データセンター利用料,データセンター利用料
103,AOSMS,AOSMS
105,ネットワーク利用料,ネットワーク利用料
106,AWS利用料,AWS利用料
107,AZURE利用料,AZURE利用料
110,その他クラウド利用料,その他クラウド利用料
201,インフラサービス,インフラサービス
204,VDI,VDI
210,HCMインフラ,HCMインフラ
211,STRインフラ,STRインフラ
212,ネットワークサービス,ネットワークサービス
213,セキュリティサービス,セキュリティサービス
304,Xythos,Xythos
306,HCM,HCM
307,STR製品開発,STR製品開発
308,HCM製品開発,HCM製品開発
309,STR,STR
310,CAD/CAM/TC,CAD/CAM/TC
311,CAE,CAE
312,契約支援,契約支援
314,運用支援,運用支援
318,I*QUAVIS,I*QUAVIS
319,アドオン,アドオン
320,その他,その他
401,AMO,AMO
403,SuperStream/Portnet,SS/Port
405,APL,APL
406,BI,BI
407,NetSuite,NetSuite
501,ヘルプデスク,ヘルプデスク
601,ISID ITｲﾝﾌﾗ運用業務,ISID ITｲﾝﾌﾗ運用業務
704,システム運用・保守,システム運用・保守
901,BPO,BPO
907,人材ﾋﾞｼﾞﾈｽ,人材ﾋﾞｼﾞﾈｽ
999,指定なし,指定なし
A01,RFIDｻｰﾋﾞｽ,RFID
A02,ｷﾐﾊﾞｼｮｻｰﾋﾞｽ、Touch-mee,ｷﾐﾊﾞｼｮ・Touch-mee
DBL,電通 ｿﾌﾄ商品販売,電通 BSL
DBM,電通 ｿﾌﾄ商品保守ｻｰﾋﾞｽ,電通 BSM
DCN,電通 ｺﾝｻﾙﾃｨﾝｸﾞｻｰﾋﾞｽ,電通 CON
DFM,電通 個別案件型ｼｽﾃﾑ開発保守ｻｰﾋﾞｽ,電通 FSM
DHL,電通 情報機器･その他ｿﾌﾄ販売,電通 HSL
DHM,電通 情報機器･その他ｿﾌﾄ保守,電通 HSM
DMC,電通 その他諸口,電通 MSC
DO1,電通 個別運用 人系 SLA,電通 OSI SLA
DO2,電通 個別運用 人系 ｲﾝﾏﾈ,電通 OSI ｲﾝﾏﾈ
DO3,電通 個別運用 人系 関西,電通 OSI 関西
DO4,電通 個別運用 人系 個別運用,電通 OSI 個別運用
DO5,電通 個別運用 人系 中部,電通 OSI 中部
DO6,電通 個別運用 人系 運用保守,電通 OSI 運用保守
DO8,電通 個別運用 人系 電通クラウド,電通 OSI 電通ｸﾗｳﾄﾞ
DOA,電通 個別運用 期間 海外,電通 OSI 海外
DOB,電通 個別運用 期間 CAP,電通 OSI CAP
DOC,電通 個別運用 期間 回線,電通 OSI 回線
DOD,電通 個別運用 期間 電話関連,電通 OSI 電話関連
DOX,電通 個別運用 都度発注 作業･工事･他,電通 OSI 作業･工事
DOY,電通 個別運用 都度発注 消耗品,電通 OSI 消耗品
DSC,電通 ｾﾝﾀｰ利用型運用保守ｻｰﾋﾞｽ,電通 OSC
GBL,ｸﾞﾙｰﾌﾟ ｿﾌﾄ商品販売,ｸﾞﾙｰﾌﾟ BSL
GBM,ｸﾞﾙｰﾌﾟ ｿﾌﾄ商品保守ｻｰﾋﾞｽ,ｸﾞﾙｰﾌﾟ BSM
GCN,ｸﾞﾙｰﾌﾟ ｺﾝｻﾙﾃｨﾝｸﾞｻｰﾋﾞｽ,ｸﾞﾙｰﾌﾟ CON
