部門CC,部署CC,上位CC,部署CD,部署CCの名称,部署CCの略称,月次区分,区分,昨年の部署CC
,AN000A,,AN0000,ＡＯ全社,ＡＯ全社,CO本部,,
ANA00B,ANA00B,AN000A,ANA000,役員室,役員室,CO本部,販管,
ANA00B,ANAX00,ANA00B,ANA000,役員室,役員室,CO本部,販管,
ANA00B,ANA100,ANA00B,ANA100,リスク統制室,リスク統制室,CO本部,販管,
ANA00B,ANA200,ANA00B,ANA200,経営企画室,経営企画室,CO本部,販管,
AN100B,AN100B,AN000A,AN1000,コーポレート本部,ＣＯ本部,CO本部,販管,
AN100B,AN1X00,AN100B,AN1000,コーポレート本部販管共通,ＣＯ本部共通,CO本部,販管,
AN100B,AN1110,AN100B,AN1000,コーポレート本部（原価）,ＣＯ本部原価,CO本部,原価,
AN100B,AN1A00,AN100B,AN1000,品川販管共通,品川販管共通,CO本部,販管,
AN100B,AN1B00,AN100B,AN1000,大阪販管共通,大阪販管共通,CO本部,販管,
AN100B,AN1C00,AN100B,AN1000,ＩＳＴＡ利用料配賦用（社員数）,ＩＳＴＡヒト,CO本部,販管,
AN100B,AN1D00,AN100B,AN1000,ＩＳＴＡ利用料配賦用（受発注数）,ＩＳＴＡトラン,CO本部,販管,
AN100B,AN1E00,AN100B,AN1000,ＥＳＱ利用料配賦用,ＥＳＱ配賦,CO本部,販管,
AN100B,AN1F00,AN100B,AN1000,ＩＳＯ認証＋シス推センター費用配賦用,ＩＳＯ配賦,CO本部,販管,
AN100B,AN1G00,AN100B,AN1000,ＭＴ配賦用（全部門）,ＭＴ配賦共通,CO本部,販管,
AN100B,AN1100,AN100B,AN1100,経理部,経理部,CO本部,販管,
AN100B,AN1200,AN100B,AN1200,総務部,総務部,CO本部,販管,
AN100B,AN1300,AN100B,AN1300,人事部,人事部,CO本部,販管,
AN100B,AN1400,AN100B,AN1400,リソース戦略推進部,リソース戦略,CO本部,販管,
AN100B,AN14N0,AN100B,AN14N0,リソース戦略推進部付,リソース戦略付,CO本部,販管,
AN100B,AN1500,AN100B,AN1500,パートナー推進部,Ｐ推進部,CO本部,販管,
AN100B,AN1800,AN100B,AN1800,ヘルスケア推進部,ＨＣ推進部,CO本部,販管,
AN500B,AN500B,AN000A,AN5000,テクノロジー＆コンサルティング本部,ＴＣ本部,TC本部,販管,
AN500B,AN5X00,AN500B,AN5000,ＴＣ販管共通,ＴＣ販管共通,TC本部,販管,
AN500B,AN5100,AN500B,AN5100,プラットフォーム技術１部,ＰＬＦ技術１部,TC本部,原価,
AN500B,AN5500,AN500B,AN5500,クラウド基盤技術部,クラウド基盤部,TC本部,原価,
AN500B,AN5900,AN500B,AN5900,エンタープライズ基盤技術部,エンタ基盤部,TC本部,原価,
AN500B,AN5940,AN500B,AN5940,プラットフォーム技術２部,ＰＬＦ技術２部,TC本部,原価,
AN500B,AN5950,AN500B,AN5950,ＩＴコンサルティング部,ＩＴコンサル部,TC本部,原価,
AN500B,AN5970,AN500B,AN5970,サービス品質推進部,品質推進部,TC本部,販管,
AN500B,AN5980,AN500B,AN5980,タレントマネジメント推進部,ＴＭ推進部,TC本部,販管,
AN500B,AN50UC,AN500B,AN500U,営業ユニット（ＴＣ）,営業ユニットTC,TC本部,販管,
AN500B,AN50U0,AN50UC,AN500U,営業ユニットＴＣ販管,営業ユニット販,TC本部,販管,
