確度,部門,プロジェクト名,内外,BIZ,S/L,AOコード,AOコード名,請求先,ヒト・モノ,売上1月,外注費1月,原価経費1月,社内人件費1月,売上総利益1月,率1月,売上2月,外注費2月,原価経費2月,社内人件費2月,売上総利益2月,率2月,売上3月,外注費3月,原価経費3月,社内人件費3月,売上総利益3月,率3月,売上4月,外注費4月,原価経費4月,社内人件費4月,売上総利益4月,率4月,売上5月,外注費5月,原価経費5月,社内人件費5月,売上総利益5月,率5月,売上6月,外注費6月,原価経費6月,社内人件費6月,売上総利益6月,率6月,売上7月,外注費7月,原価経費7月,社内人件費7月,売上総利益7月,率7月,売上8月,外注費8月,原価経費8月,社内人件費8月,売上総利益8月,率8月,売上9月,外注費9月,原価経費9月,社内人件費9月,売上総利益9月,率9月,売上10月,外注費10月,原価経費10月,社内人件費10月,売上総利益10月,率10月,売上11月,外注費11月,原価経費11月,社内人件費11月,売上総利益11月,率11月,売上12月,外注費12月,原価経費12月,社内人件費12月,売上総利益12月,率12月
①,HCM,開発・保守案件 AO（プロパー）,内,BS,5a 個別運用保守ｻｰﾋﾞｽ,306,HCM,ISID,ヒト,10766900,0,120000,7266600,3380300,0.314,10766900,0,120000,7266600,3380300,0.314,10766900,0,120000,7266600,3380300,0.314,12414900,0,140000,8718600,3556300,0.286,12414900,0,140000,8355600,3919300,0.316,12414900,0,140000,8355600,3919300,0.316,10766900,0,120000,7266600,3380300,0.314,10959500,0,120000,7411800,3427700,0.313,10959500,0,120000,7411800,3427700,0.313,10959500,0,120000,7411800,3427700,0.313,10959500,0,120000,7411800,3427700,0.313,10959500,0,120000,7411800,3427700,0.313
①,HCM,開発・保守案件 AO（安田）,内,BS,5a 個別運用保守ｻｰﾋﾞｽ,306,HCM,ISID,ヒト,789500,0,10000,1056000,-276500,-0.35,789500,0,10000,1056000,-276500,-0.35,789500,0,10000,1056000,-276500,-0.35,789500,0,10000,1056000,-276500,-0.35,789500,0,10000,1056000,-276500,-0.35,789500,0,10000,1056000,-276500,-0.35,789500,0,10000,1056000,-276500,-0.35,789500,0,10000,1056000,-276500,-0.35,789500,0,10000,1056000,-276500,-0.35,789500,0,10000,1056000,-276500,-0.35,789500,0,10000,1056000,-276500,-0.35,789500,0,10000,1056000,-276500,-0.35
①,HCM,開発・保守案件 AO（真水メンバー）,内,BS,5a 個別運用保守ｻｰﾋﾞｽ,306,HCM,ISID,ヒト,1648000,0,0,1452000,196000,0.119,1648000,0,0,1452000,196000,0.119,1648000,0,0,1452000,196000,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
①,HCM,開発・保守案件 AO（池田）,内,BS,5a 個別運用保守ｻｰﾋﾞｽ,306,HCM,ISID,ヒト,892000,0,10000,726000,156000,0.175,892000,0,10000,726000,156000,0.175,892000,0,10000,726000,156000,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
①,HCM,開発・保守案件 AO（斎藤）,内,BS,5a 個別運用保守ｻｰﾋﾞｽ,306,HCM,ISID,ヒト,327000,0,10000,247500,69500,0.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
①,HCM,開発・保守案件 AO（FY20新人2名）,内,BS,5a 個別運用保守ｻｰﾋﾞｽ,306,HCM,ISID,ヒト,522400,0,10000,396000,116400,0.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653000,0,10000,495000,148000,0.227,653000,0,10000,495000,148000,0.227,653000,0,10000,495000,148000,0.227,653000,0,10000,495000,148000,0.227,653000,0,10000,495000,148000,0.227
③,HCM,開発・保守案件 AO（寺西未確定）,内,BS,5a 個別運用保守ｻｰﾋﾞｽ,306,HCM,ISID,ヒト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
④,HCM,開発・保守案件 AO（中途入社2名）,内,BS,5a 個別運用保守ｻｰﾋﾞｽ,306,HCM,ISID,ヒト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
①,HCM,PO　菱電保守　エスピーネット,内,BS,5a 個別運用保守ｻｰﾋﾞｽ,306,HCM,ISID,ヒト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546095,485417,0,0,60678,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781758,694896,0,0,86862,0.111
①,HCM,PO　キタムラ保守　エスピーネット,内,BS,5a 個別運用保守ｻｰﾋﾞｽ,306,HCM,ISID,ヒト,0,0,0,0,0,0,0,0,0,0,0,0,742500,660000,0,0,82500,0.111,0,0,0,0,0,0,0,0,0,0,0,0,742500,660000,0,0,82500,0.111,247500,220000,0,0,27500,0.111,0,0,0,0,0,0,495000,440000,0,0,55000,0.111,0,0,0,0,0,0,0,0,0,0,0,0,742500,660000,0,0,82500,0.111
