"技術担当
部署（FY20 ）","技術担当
部署(FY21)",案件責任,営業/開発担当者,確度,プロジェクト名,S/L,AOコード,AOコード名,セグメント,請求先,内外,カテゴリ,ヒト/モノ,新規・継続,サービスCD,サービス名,売上1月,外注費1月,仕入1月,原価経費1月,社内人件費1月,売上総利益1月,率1月,売上2月,外注費2月,仕入2月,原価経費2月,社内人件費2月,売上総利益2月,率2月,売上3月,外注費3月,仕入3月,原価経費3月,社内人件費3月,売上総利益3月,率3月,売上4月,外注費4月,仕入4月,原価経費4月,社内人件費4月,売上総利益4月,率4月,売上5月,外注費5月,仕入5月,原価経費5月,社内人件費5月,売上総利益5月,率5月,売上6月,外注費6月,仕入6月,原価経費6月,社内人件費6月,売上総利益6月,率6月,売上7月,外注費7月,仕入7月,原価経費7月,社内人件費7月,売上総利益7月,率7月,売上8月,外注費8月,仕入8月,原価経費8月,社内人件費8月,売上総利益8月,率8月,売上9月,外注費9月,仕入9月,原価経費9月,社内人件費9月,売上総利益9月,率9月,売上10月,外注費10月,仕入10月,原価経費10月,社内人件費10月,売上総利益10月,率10月,売上11月,外注費11月,仕入11月,原価経費11月,社内人件費11月,売上総利益11月,率11月,売上12月,外注費12月,仕入12月,原価経費12月,社内人件費12月,売上総利益12月,率12月
ＰＦ技,ＰＦ１,開発,松本,A0,トヨタ紡織 iQUAVISクラウド保守,2b 個別案件型システム開発保守サービス,201,インフラサービス,ES,ISID,内,インフラ,ヒト,継続,E61,保守,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,86165,0,0,0,63835,0.425566667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,0,0,0,255000,45000,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ＰＦ技,ＰＦ１,営業,堀尾,A0,エルテス　　運用技術支援　ヒト,2b 個別案件型システム開発保守サービス,201,インフラサービス,CIT,エルテス,外,インフラ,ヒト,継続,C9D,CIT  SI BSその他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,703980,196020,0.2178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,765000,135000,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,765000,135000,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,900000,0,0,0,765000,135000,0.15
ＰＦ技,ＰＦ１,営業,堀尾,A0,エルテス　　不正送金検知アプリケーション開発,2b 個別案件型システム開発保守サービス,201,インフラサービス,CIT,エルテス,外,インフラ,ヒト,新規,C9D,CIT  SI BSその他,2700000,2049954,0,55595,0,594451,0.220167037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,0,0,0,0,0,0,0
ＰＦ技,ＰＦ１,営業,堀尾,C0,エルテス　　統合学習用アプリケーション開発,2b 個別案件型システム開発保守サービス,201,インフラサービス,CIT,エルテス,外,インフラ,ヒト,新規,C9D,CIT  SI BSその他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,2176073,0,5933,498569,2319425,0.463885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,0,0,0,0,0,0,0
ＰＦ技,ＰＦ１,営業,堀尾,C0,朝日生命　HW、SW,6a 情報機器･その他ソフト販売,201,インフラサービス,EIT,ISID,内,インフラ,モノ,新規,B7D,BSその他,,,,,,,,0,0,0,0,0,0,0,12621500,0,11003661,0,0,1617839,0.128181199,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＰＦ技,ＰＦ１,営業,堀尾,C0,朝日生命　Oracleライセンス,6a 情報機器･その他ソフト販売,201,インフラサービス,EIT,ISID,内,インフラ,モノ,新規,B7D,BSその他,,,,,,,,0,0,0,0,0,0,0,4250000,0,3654000,0,0,596000,0.140235294,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＰＦ技,ＰＦ１,営業,堀尾,C1,朝日生命　保守,6b 情報機器･その他ソフト保守,201,インフラサービス,EIT,ISID,内,インフラ,モノ,新規,B7D,BSその他,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ＰＦ技,ＰＦ１,営業,堀尾,C0,朝日生命　導入作業（3月）,2b 個別案件型システム開発保守サービス,201,インフラサービス,BS,ISID,内,インフラ,ヒト,新規,B7D,BSその他,0,0,0,,0,0,0,0,0,0,0,0,0,0,1840000,1300000,0,,0,540000,0.293478261,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,堀尾,C0,朝日生命　導入作業（4-6月）,2b 個別案件型システム開発保守サービス,201,インフラサービス,BS,ISID,内,インフラ,ヒト,新規,B7D,BSその他,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,6360000,2925600,0,,0,3434400,0.54,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
ＰＦ技,ＰＦ１,営業,堀尾,C0,東京インキ様 インフラ支援,2b 個別案件型システム開発保守サービス,201,インフラサービス,EIT,ISID,内,インフラ,ヒト,継続,B7D,BSその他,175000,35578,0,0,63915,75507,0.431468571,165000,35581,0,0,55481,73938,0.448109091,165000,47659,0,17243,170174,-70076,-0.42470303,165000,0,0,39741,102659,22600,0.136969697,165000,30308,0,-230,33002,101920,0.61769697,165000,0,0,39741,102659,22600,0.136969697,165000,0,0,39741,102659,22600,0.136969697,165000,0,0,39741,102659,22600,0.136969697,165000,0,0,39741,102659,22600,0.136969697,55000,0,0,0,44000,11000,0.2,55000,0,0,0,44000,11000,0.2,55000,0,0,0,44000,11000,0.2
