確度,営業担当,技術担当,営業/技術,旧部門,部門,案件名,内外,BIZ,ソリューション識別,サービスライン名,"汎用識別
AOコード",汎用識別名,請求先,ヒト・モノ,売上1月,外注費1月,仕入1月,原価経費1月,社内人件費1月,売上総利益1月,率1月,売上2月,外注費2月,仕入2月,原価経費2月,社内人件費2月,売上総利益2月,率2月,売上3月,外注費3月,仕入3月,原価経費3月,社内人件費3月,売上総利益3月,率3月,売上4月,外注費4月,仕入4月,原価経費4月,社内人件費4月,売上総利益4月,率4月,売上5月,外注費5月,仕入5月,原価経費5月,社内人件費5月,売上総利益5月,率5月,売上6月,外注費6月,仕入6月,原価経費6月,社内人件費6月,売上総利益6月,率6月,売上7月,外注費7月,仕入7月,原価経費7月,社内人件費7月,売上総利益7月,率7月,売上8月,外注費8月,仕入8月,原価経費8月,社内人件費8月,売上総利益8月,率8月,売上9月,外注費9月,仕入9月,原価経費9月,社内人件費9月,売上総利益9月,率9月,売上10月,外注費10月,仕入10月,原価経費10月,社内人件費10月,売上総利益10月,率10月,売上11月,外注費11月,仕入11月,原価経費11月,社内人件費11月,売上総利益11月,率11月,売上12月,外注費12月,仕入12月,原価経費12月,社内人件費12月,売上総利益12月,率12月
A0,和田,円丁,営業,EIS,HCM,PO/SB　SI保守(社員6名)【2021年度SI保守1～3月／4～6月】,内,BS,HCM／ヒト／継続,5a 個別運用保守ｻｰﾋﾞｽ,320,その他,ISID,ヒト,10502250,730000,0,42897,7057999,2671354,0.254,11394250,730000,0,14374,7185782,3464094,0.304,10502250,730000,0,10852,6855552,2905846,0.277,11394250,730000,0,19746,7157622,3486882,0.306,11394250,730000,0,28963,7115574,3519713,0.309,5636000,0,0,0,4689630,946370,0.168,5636000,0,0,0,4689630,946370,0.168,5636000,0,0,0,4689630,946370,0.168,5636000,0,0,0,4689630,946370,0.168,5636000,0,0,0,4689630,946370,0.168,5636000,0,0,0,4689630,946370,0.168,5636000,0,0,0,4689630,946370,0.168
A0,和田,円丁,営業,EIS,HCM,PO/SB　SI保守(円丁),内,BS,HCM／ヒト／継続,5a 個別運用保守ｻｰﾋﾞｽ,320,その他,ISID,ヒト,,,,,,,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,1202000,0,0,0,1111605,90395,0.075,1202000,0,0,0,1111605,90395,0.075,1202000,0,0,0,1111605,90395,0.075,1202000,0,0,0,1111605,90395,0.075,1202000,0,0,0,1111605,90395,0.075,1202000,0,0,0,1111605,90395,0.075,1202000,0,0,0,1111605,90395,0.075
A0,和田,円丁,営業,EIS,HCM,PO/SB　SI保守(松田),内,BS,HCM／ヒト／継続,5a 個別運用保守ｻｰﾋﾞｽ,320,その他,ISID,ヒト,,,,,,,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,1059000,0,0,0,781605,277395,0.262,1059000,0,0,0,781605,277395,0.262,1059000,0,0,0,781605,277395,0.262,1059000,0,0,0,781605,277395,0.262,1059000,0,0,0,781605,277395,0.262,1059000,0,0,0,781605,277395,0.262,1059000,0,0,0,781605,277395,0.262
A0,和田,円丁,営業,EIS,HCM,PO/SB　SI保守(梶原),内,BS,HCM／ヒト／継続,5a 個別運用保守ｻｰﾋﾞｽ,320,その他,ISID,ヒト,,,,,,,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,892000,0,0,0,781605,110395,0.124,892000,0,0,0,781605,110395,0.124,892000,0,0,0,781605,110395,0.124,892000,0,0,0,781605,110395,0.124,892000,0,0,0,781605,110395,0.124,892000,0,0,0,781605,110395,0.124,892000,0,0,0,781605,110395,0.124
A0,和田,円丁,営業,EIS,HCM,PO/SB　SI保守(長谷部),内,BS,HCM／ヒト／継続,5a 個別運用保守ｻｰﾋﾞｽ,320,その他,ISID,ヒト,,,,,,,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,892000,0,0,0,781605,110395,0.124,892000,0,0,0,781605,110395,0.124,892000,0,0,0,781605,110395,0.124,892000,0,0,0,781605,110395,0.124,892000,0,0,0,781605,110395,0.124,892000,0,0,0,781605,110395,0.124,892000,0,0,0,781605,110395,0.124
A0,和田,円丁,営業,EIS,HCM,PO/SB　SI保守(TP工藤),内,BS,HCM／ヒト／継続,5a 個別運用保守ｻｰﾋﾞｽ,320,その他,ISID,ヒト,,,,,,,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,821250,730000,0,0,0,91250,0.111,821250,730000,0,0,0,91250,0.111,821250,730000,0,0,0,91250,0.111,821250,730000,0,0,0,91250,0.111,821250,730000,0,0,0,91250,0.111,821250,730000,0,0,0,91250,0.111,821250,730000,0,0,0,91250,0.111
A0,和田,円丁,営業,EIS,HCM,PO/SB　SI保守(檀野),内,BS,HCM／ヒト／継続,5a 個別運用保守ｻｰﾋﾞｽ,320,その他,ISID,ヒト,,,,,,,0,,,,,,0,0,892000,0,0,0,448942,443058,0.497,,,,,,0,0,,,,,,0,0,892000,0,0,0,550605,341395,0.383,892000,0,0,0,550605,341395,0.383,892000,0,0,0,550605,341395,0.383,892000,0,0,0,550605,341395,0.383,892000,0,0,0,550605,341395,0.383,892000,0,0,0,550605,341395,0.383,892000,0,0,0,550605,341395,0.383
A0,和田,渡邉,営業,EIS,HCM,PO/SB　平和堂（SmartHR対応）　★集約リスト参照,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,320,その他,ISID,ヒト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880000,2550000,0,0,,330000,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
A0,和田,樫本,営業,EIS,HCM,PO/SB 中国銀行(人事制度変更対応）,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,404,西日本その他,ISID,ヒト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700000,1500000,0,0,0,200000,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
A0,和田,円丁,営業,EIS,HCM,PO/SB　みなと データ移行支援（ST本番サポート）,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,320,その他,ISID,ヒト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3880000,3440000,0,0,0,440000,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
