サービス内容CD,サービス内容CDの名称,セグメント略称
B11,BS 連結会計 STRAVIS,BS
B12,BS 連結会計 STRAVIS-GRANDE,BS
B15,BS 連結会計 STRAVIS（クラウド）,BS
B19,BS 連結会計 その他,BS
B21,BS 財務会計 OracleEBS,BS
B23,BS 財務会計 SuperStream,BS
B29,BS 財務会計 その他(CATS含む),BS
B31,BS 管理会計 HFM,BS
B32,BS 管理会計 Planning,BS
B38,BS 管理会計 その他,BS
B39,BS 管理会計Hyperionその他,BS
B41,BS HRM Positive,BS
B42,BS HRM StaffBrain,BS
B45,BS HRM Positive(Hayabusa版),BS
B46,BS HRM Staffbrain(Hayabusa版),BS
B47,BS HRM PO&SB(クラウド・CLOUDiS),BS
B48,BS HRM PO&SB(クラウド・AWS),BS
B49,BS HRM その他,BS
B4A,BS HRM Positive GMS,BS
BS4,BS 新商材開発(ｿﾌﾄ),BS
BS5,BS 新商材開発(ｻｰﾋﾞｽ),BS
C1L,CIT コスト サブリース,CIT
C21,CIT コスト 電通 経費,CIT
C22,CIT コスト 電通 資産,CIT
C23,CIT コスト 電通グループ 経費,CIT
C24,CIT コスト 電通グループ 資産,CIT
C30,[ICT] CIT コスト電通 ,CIT
C31,[ICT] CIT コスト電通グループ,CIT
C32,[ICT] CIT コストISIDグループ,CIT
C61,CIT 外貨 電通G協業 事業系IT投資,CIT
C62,CIT 外貨 電通G協業 通常協業,CIT
C63,CIT 外貨 ISID独自 ISID,CIT
C64,CIT 外貨 ISID独自 外部,CIT
C71,CIT 基幹系＆ﾋﾞｽﾞｿﾙ SAP（ｵﾝﾌﾟﾚﾐｽ）,CIT
C72,CIT  基幹系＆ﾋﾞｽﾞｿﾙ Infor/Baan,CIT
C73,CIT  基幹系＆ﾋﾞｽﾞｿﾙ Panaya,CIT
C74,CIT  基幹系＆ﾋﾞｽﾞｿﾙ SCMその他(Asprova他),CIT
C76,CIT  基幹系＆ﾋﾞｽﾞｿﾙ ｺﾝｻﾙﾃｨﾝｸﾞ(SCM関連),CIT
C77,CIT  基幹系＆ﾋﾞｽﾞｿﾙ SPECTRE,CIT
C7A,CIT  基幹系＆ﾋﾞｽﾞｿﾙ ACXEL HARMONY FUSION,CIT
C7B,CIT  基幹系＆ﾋﾞｽﾞｿﾙ GoldCoast,CIT
C7C,CIT  基幹系＆ﾋﾞｽﾞｿﾙ SAP関連その他,CIT
C81,CIT  SI 基幹系アプリ SI,CIT
C82,CIT  SI CRM系アプリ SI,CIT
C83,CIT  SI その他SI,CIT
C99,CIT  SI Xythos,CIT
C9B,CIT  SI ｺﾝｻﾙﾃｨﾝｸﾞ(情報基盤),CIT
C9C,CIT  SI 情報基盤その他,CIT
C9D,CIT  SI BSその他,CIT
C9E,CIT  SI 情報基盤,CIT
CS1,CIT 戦略ﾋﾞｼﾞﾈｽ案件(SI型),CIT
CS2,CIT 戦略ﾋﾞｼﾞﾈｽ案件(ｻｰﾋﾞｽ提供型),CIT
CS3,CIT 新商材開発(ﾊｰﾄﾞ）,CIT
CS4,CIT 新商材開発(ｿﾌﾄ),CIT
CS5,CIT 新商材開発(ｻｰﾋﾞｽ),CIT
E21,ES 設計：NX/TCデータ管理,ES
E29,ES 設計:その他,ES
E31,ES DM/CAM：金型・測定・加工,ES
E41,ES CAE:構造･機構解析,ES
E43,ES CAE:樹脂流動解析,ES
E59,ES PLM：その他,ES
E61,ES 保守,ES
E83,ES その他：IT商品、ハード等,ES
ES1,ES 戦略ﾋﾞｼﾞﾈｽ案件(SI型),ES
ES2,ES 戦略ﾋﾞｼﾞﾈｽ案件(ｻｰﾋﾞｽ提供型),ES
ES3,ES 新商材開発(ﾊｰﾄﾞ）,ES
ES4,ES 新商材開発(ｿﾌﾄ),ES
ES5,ES 新商材開発(ｻｰﾋﾞｽ),ES
F11,金融 SI 市場系,金融
F12,金融 SI コアバンキング,金融
F13,金融 SI 決済,金融
F19,金融 SI その他,金融
F21,金融 BANK・R 1.0,金融
F22,金融 BANK・R ダイレクトチャネル,金融
F23,金融 BANK・R 中国展開,金融
F29,金融 BANK・R その他,金融
F31,金融 ﾋﾞｼﾞﾈｽｲﾉﾍﾞｰｼｮﾝ 市場系ｲﾉﾍﾞｰｼｮﾝ,金融
F32,金融 ビジネスイノベーション VCF,金融
F39,金融 ビジネスイノベーション その他,金融
F41,金融 その他,金融
FS1,金融 戦略ﾋﾞｼﾞﾈｽ案件(SI型),金融
FS2,金融 戦略ﾋﾞｼﾞﾈｽ案件(ｻｰﾋﾞｽ提供型),金融
FS3,金融 新商材開発(ﾊｰﾄﾞ）,金融
FS4,金融 新商材開発(ｿﾌﾄ),金融
FS5,金融 新商材開発(ｻｰﾋﾞｽ),金融
Y11,技術統括 社内システム,技術統括
Z11,その他(営業費等),その他
