サービスラインCD,サービスラインNo,サービスライン名,サービス系統
CON,1,ｺﾝｻﾙﾃｨﾝｸﾞｻｰﾋﾞｽ,人的サービス系
FSD,2a,個別案件型ｼｽﾃﾑ開発,人的サービス系
FSM,2b,個別案件型ｼｽﾃﾑ開発保守ｻｰﾋﾞｽ,人的サービス系
DSI,3a,ｿﾌﾄｳｪｱ製品販売,パッケージ販売系
DSM,3b,ｿﾌﾄｳｪｱ製品保守ｻｰﾋﾞｽ,パッケージ販売系
DAT,3c,ｿﾌﾄｳｪｱ製品ｱﾄﾞｵﾝ開発･導入技術支援,人的サービス系
DAM,3d,ｿﾌﾄｳｪｱ製品ｱﾄﾞｵﾝ開発保守ｻｰﾋﾞｽ,人的サービス系
BSL,4a,ｿﾌﾄ商品販売,パッケージ販売系
BSM,4b,ｿﾌﾄ商品保守ｻｰﾋﾞｽ,パッケージ販売系
BAT,4c,ｿﾌﾄ商品ｱﾄﾞｵﾝ開発･導入技術支援,人的サービス系
BAM,4d,ｿﾌﾄ商品ｱﾄﾞｵﾝ開発保守ｻｰﾋﾞｽ,人的サービス系
OSI,5a,個別運用保守ｻｰﾋﾞｽ,その他
OSC,5b,ｾﾝﾀｰ利用型運用保守ｻｰﾋﾞｽ,その他
OBP,5c,業務受託ｻｰﾋﾞｽ,その他
HSL,6a,情報機器･その他ｿﾌﾄ販売,その他
HSM,6b,情報機器･その他ｿﾌﾄ保守,その他
MSC,7a,その他諸口,その他
