sol,顧客,"ソリュー
ションコード","ソリュー
ションコード名",SL,サービスライン,分類1,分類2,月,実績_売上,"実績_社外
原価外注","実績_社外
原価仕入","実績_社外
原価その他","実績_
限界利益","実績_
限界利益率","実績_
社内原価","実績_
売上総利益","実績_
売上総利益率",予算_売上,"予算_社外
原価外注","予算_社外
原価仕入","予算_社外
原価その他","予算_
限界利益","予算_
限界利益率","予算_
社内原価","予算_
売上総利益","予算_
売上総利益率",見込_売上,"見込_社外
原価外注","見込_社外
原価仕入","見込_社外
原価その他","見込_
限界利益","見込_
限界利益率","見込_
社内原価","見込_
売上総利益","見込_
売上総利益率",,"見込差異
売上","見込差異
限界利益","見込差異
売総利益","見込差異
社外原価","見込差異
社内原価","見込差異
外注費","見込差異
仕入れ","見込差異
その他",,
DBL1月,電通,DBL,電通 ｿﾌﾄ商品販売,BSL,4a ｿﾌﾄ商品販売,0,,1月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,
DBM1月,電通,DBM,電通 ｿﾌﾄ商品保守ｻｰﾋﾞｽ,BSM,4b ｿﾌﾄ商品保守ｻｰﾋﾞｽ,モノ,継続,1月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,
DCN1月,電通,DCN,電通 ｺﾝｻﾙﾃｨﾝｸﾞｻｰﾋﾞｽ,CON,1  ｺﾝｻﾙﾃｨﾝｸﾞｻｰﾋﾞｽ,ヒト,新規,1月,0,0,0,0,0,0,0,0,0,1165000,0,0,0,1165000,1,707155,457845,0.393,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,
DFM1月,電通,DFM,電通 個別案件型ｼｽﾃﾑ開発保守ｻｰﾋﾞｽ,FSM,2b 個別案件型ｼｽﾃﾑ開発保守ｻｰﾋﾞｽ,モノ,継続,1月,7947000,0,0,7753172,193828,0.024390084,0,193828,0.024390084,7947000,0,0,7756272,190728,0.024,0,190728,0.024,7947000,0,0,7753172,193828,0.024390084,0,193828,0.024390084,0,0,0,0,0,0,0,0,0,,
DHL1月,電通,DHL,電通 情報機器･その他ｿﾌﾄ販売,HSL,6a 情報機器･その他ｿﾌﾄ販売,モノ,継続,1月,82458047,1801,10943500,68260962,3251784,0.039435617,0,3251784,0.039435617,80113854,0,10942675,65340355,3830824,0.047817248,0,3830824,0.047817248,82458047,1801,10943500,68260962,3251784,0.039435617,0,3251784,0.039435617,0,0,0,0,0,0,0,0,0,,
DHM1月,電通,DHM,電通 情報機器･その他ｿﾌﾄ保守,HSM,6b 情報機器･その他ｿﾌﾄ保守,モノ,継続,1月,48403077,0,40750,47245110,1117217,0.023081528,0,1117217,0.023081528,46733854,0,0,45565506,1168348,0.025000035,0,1168348,0.025000035,48403077,0,40750,47245110,1117217,0.023081528,0,1117217,0.023081528,0,0,0,0,0,0,0,0,0,,
DMC1月,電通,DMC,電通 その他諸口,MSC,7a その他諸口,モノ,継続,1月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,
DO11月,電通,DO1,電通 個別運用 人系 SLA,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,継続,1月,42107350,23142306,0,0,18965044,0.450397472,8304032,10661012,0.253186486,41447900,20721234,0,0,20726666,0.500065528,8528920,12197746,0.29429105,42107350,23142306,0,0,18965044,0.450397472,8304032,10661012,0.253186486,0.197210986,0,0,0,0,0,0,0,0,,
DO21月,電通,DO2,電通 個別運用 人系 ｲﾝﾏﾈ,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,継続,1月,1801250,769411,0,0,1031839,0.572846079,255946,775893,0.430752533,0,0,0,0,0,0,0,0,0,1801250,769411,0,0,1031839,0.572846079,255946,775893,0.430752533,0.142093546,0,0,0,0,0,0,0,0,,
DO31月,電通,DO3,電通 個別運用 人系 関西,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,継続,1月,8998500,4454377,0,3344,4540779,0.504615103,2585181,1955598,0.217324887,8977500,4215475,0,6922,4755103,0.52966895,2597675,2157428,0.24031501,8998500,4454377,0,3344,4540779,0.504615103,2585181,1955598,0.217324887,0.287290215,0,0,0,0,0,0,0,0,,
DO41月,電通,DO4,電通 個別運用 人系 個別運用,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,新規,1月,1724583,120339,0,206938,1397306,0.810228328,272140,1125166,0.652427862,9320000,3675850,0,7350,5636800,0.604806867,1666690,3970110,0.425977468,1724583,120339,0,206938,1397306,0.810228328,272140,1125166,0.652427862,0.157800465,0,0,0,0,0,0,0,0,,
DO51月,電通,DO5,電通 個別運用 人系 中部,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,継続,1月,2820000,0,0,0,2820000,1,1856628,963372,0.341621277,2820000,304523,0,0,2515477,0.892013121,1991271,524206,0.185888652,2820000,0,0,0,2820000,1,1856628,963372,0.341621277,0.658378723,0,0,0,0,0,0,0,0,,
DO61月,電通,DO6,電通 個別運用 人系 運用保守,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,継続,1月,7139339,2236940,0,884363,4018036,0.562802243,706760,3311276,0.463807084,7978097,2672304,0,1007405,4298388,0.538773595,468419,3829969,0.480060471,7139339,2236940,0,884363,4018036,0.562802243,706760,3311276,0.463807084,0.098995159,0,0,0,0,0,0,0,0,,
DO81月,電通,DO8,電通 個別運用 人系 電通クラウド,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,新規,1月,53517579,6117446,0,27956566,19443567,0.363311782,2834682,16608885,0.310344476,55659436,4964383,0,27902640,22792413,0.409497735,1851891,20940522,0.376225911,53517579,6117446,0,27956566,19443567,0.363311782,2834682,16608885,0.310344476,0.052967306,0,0,0,0,0,0,0,0,,
DOA1月,電通,DOA,電通 個別運用 期間 海外,OSI,5a 個別運用保守ｻｰﾋﾞｽ,モノ,継続,1月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,
DOB1月,電通,DOB,電通 個別運用 期間 CAP,OSI,5a 個別運用保守ｻｰﾋﾞｽ,モノ,継続,1月,21250,0,0,20627,623,0.029317647,0,623,0.029317647,21250,0,0,5448,15802,0.743623529,0,15802,0.743623529,21250,0,0,20627,623,0.029317647,0,623,0.029317647,0,0,0,0,0,0,0,0,0,,
