計上区分,計上区分名称,計上年月,発生年月,勘定科目名,発生元コストセンタ区分,発生元コストセンタコード,発生元コストセンタ名称,過月度振替元プロジェクトナンバ,過月度振替元プロジェクト名,過月度振替元プロジェクト区分,過月度振替元プロジェクト営業コストセンタコード,過月度振替元プロジェクト営業コストセンタ名称,負担先コストセンタ区分,負担先コストセンタコード,負担先コストセンタ名称,負担先プロジェクトナンバ,負担先プロジェクト名,負担先プロジェクト区分,負担先プロジェクト営業コストセンタコード,負担先プロジェクト営業コストセンタ名称,実績工数,予定原価,原価差額,社内原価計,案件ナンバ,案件明細ナンバ,サービスライン,サービスコード,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5100,ＰＬＦ技術１部,,,,,,原価用,AN5100,ＰＬＦ技術１部,LAPJ21030101,[P00]花王様CRM インフラ保守運用支援(2021年2Q),P00,AN50M0,事業管理TC,185.05,889350,-77461,811889,LAAN-2012-00404,2,OSI,C63,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5100,ＰＬＦ技術１部,,,,,,原価用,AN5100,ＰＬＦ技術１部,LAPJ21040083,[P00]DBJ様_インフラ統合保守（2021年5-6月）,P00,AN50M0,事業管理TC,307,1269642,-109772,1159870,LAAN-2012-00574,3,FSM,C83,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5100,ＰＬＦ技術１部,,,,,,原価用,AN5100,ＰＬＦ技術１部,LAPJ21040158,[P00]東京海上日動システム様向け STRAVIS IFRS開発（プレ本）環境XenApp構築,P00,AN50N0,営業部TC,25.18,85763,-7330,78433,LAAN-2104-00524,1,OBP,B11,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5100,ＰＬＦ技術１部,,,,,,原価用,AN5100,ＰＬＦ技術１部,LAPJ21060182,[P00]AGC株式会社様向け　VCADサーバーバージョンアップ作業,P00,AN50N0,営業部TC,66,449196,-39645,409551,LAAN-2106-00452,1,OBP,E21,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5100,ＰＬＦ技術１部,,,,,,原価用,AN5100,ＰＬＦ技術１部,LAPJ21010079,[P01]Citrix保守2021,P01,,,63.52,313897,-27373,286524,,,,,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5100,ＰＬＦ技術１部,,,,,,原価用,AN5100,ＰＬＦ技術１部,LAPJ21F00007,[P05]TC本部セールスサポート(PLF技術1部),P05,AN50N0,営業部TC,308.78,1546245,-134930,1411315,,,,,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5100,ＰＬＦ技術１部,,,,,,原価用,AN5100,ＰＬＦ技術１部,LAPJ21G00007,[P06]TC本部社内作業・自習・手持ち(PLF技術1部),P06,,,171.95,757862,-65738,692124,,,,,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5100,ＰＬＦ技術１部,,,,,,原価用,AN6600,ＥＳ部,LAPJ21030073,[P00]SGS様向けNX/Teamcenter運用保守業務支援_2021年4-6月,P00,AN60M0,事業管理PS,203,975618,-84974,890644,LAAN-2103-00216,6,OSI,E29,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5100,ＰＬＦ技術１部,,,,,,原価用,AN7800,ＩＣＴ３部,LAPJ21010066,[P00]I-INF 電通・電通グループ向け開発支援業務2021 2Q,P00,AN7600,ＩＣＴ営業,14,67284,-5859,61425,LAAN-2101-00179,2,OSI,C30,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5100,ＰＬＦ技術１部,,,,,,原価用,AN7800,ＩＣＴ３部,LAPJ21010206,[P00]I-DGCP移行（上期）,P00,AN7600,ＩＣＴ営業,159.8,767999,-66891,701108,LAAN-2101-00556,1,OSI,C30,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5100,ＰＬＦ技術１部,,,,,,原価用,AN7800,ＩＣＴ３部,LAPJ21040063,[P00]I-電通クラウド基盤（4-6月）,P00,AN7600,ＩＣＴ営業,326.35,1332328,-115115,1217213,LAAN-2101-00342,2,OSI,C30,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5100,ＰＬＦ技術１部,,,,,,原価用,AN7800,ＩＣＴ３部,LAPJ21050067,[P00]D-FireEyeサーバ運用（課題対応）,P00,AN7600,ＩＣＴ営業,25.08,85422,-7301,78121,LAAN-2104-00433,3,OSI,C30,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5100,ＰＬＦ技術１部,,,,,,原価用,AN7800,ＩＣＴ３部,LAPJ21050089,[P00]I-DGCP新規：Positive,P00,AN7600,ＩＣＴ営業,38.5,185031,-16114,168917,LAAN-2105-00430,1,OSI,C30,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5100,ＰＬＦ技術１部,,,,,,原価用,AN8100,Ｓ開発１部,LAPJ20120107,[P00]KHD運用保守サポート2021年1月ー12月,P00,AN80N0,営業部EIS,190,913140,-79532,833608,LAAN-2012-00343,1,OSI,C83,,,
01,当月発生,202106,202106,原価・非原価部門間振替,原価用,AN5100,ＰＬＦ技術１部,,,,,,販管費用,ANS700,ＢＤ室,LAPJ21020058,[P11]BD室商材整備-1,P11,,,82,394092,-34323,359769,,,,,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5100,ＰＬＦ技術１部,LAPJ21030101,[P00]花王様CRM インフラ保守運用支援(2021年2Q),P00,AN50M0,事業管理TC,14,95284,-18320,76964,LAAN-2012-00404,2,OSI,C63,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5100,ＰＬＦ技術１部,LAPJ21030382,[P00]セブン銀行　テレホンセンター更改対応 保守作業,P00,AN50N0,営業部TC,19.5,93717,-18223,75494,LAAN-2103-00806,1,OBP,F22,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ20100043,[P00]日産クラウドレンダリングシステムのインフラ運用・保守,P00,AN50N0,営業部TC,70,287420,-56256,231164,LAAN-2010-00084,1,FSM,E59,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21020097,[P00]日産自動車様向けHPCインフラ保守（2021年3-6月）,P00,AN50N0,営業部TC,188.75,642883,-126987,515896,LAAN-2101-00066,2,FSM,E59,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21030110,[P00]α社高セキュリティルームサーバ構築,P00,AN50M0,事業管理TC,49.28,236840,-46055,190785,LAAN-2012-00458,3,FSD,C9D,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21030128,[P00]ダイダン株式会社セラボ殿町様ネットワーク運用保守,P00,AN50N0,営業部TC,2,9612,-1868,7744,LAAN-2103-00516,1,OSI,E83,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21030136,[P00]東京インキ株式会社様向けAOSMSサービス DBサーバ運用保守(月期)(SE対応)（2021年4-9月）,P00,AN50N0,営業部TC,0.5,2403,-466,1937,LAAN-2103-00553,2,OSC,B15,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21030145,[P00]α社高セキュリティルーム要件定義,P00,AN50M0,事業管理TC,112,538272,-104670,433602,LAAN-2012-00458,4,FSD,C9D,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21030225,[P00]PB様インターネット環境リプレース（DR運用費用）FY21,P00,AN50N0,営業部TC,5,24030,-4672,19358,LAAN-2103-00699,1,OSC,C72,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21030341,[P00]ダイダン技術研究所様ネットワーク運用保守,P00,AN50N0,営業部TC,2,9612,-1868,7744,LAAN-2103-00762,1,OSI,E83,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21030350,[P00]東京インキ様_インフラテスト・リリース支援 2021年4-9月,P00,AN50N0,営業部TC,7.5,36045,-7008,29037,LAAN-2103-00775,1,OSI,C7A,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21030379,[P00]TEL様向けOutSystems環境構築・基盤運用保守(2021年4月-6月),P00,AN50M0,事業管理TC,19.75,94919,-18457,76462,LAAN-2103-00764,1,FSD,C83,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21030380,[P00]AIRDO様向けインフラ保守サービス(2021年4月-2021年9月),P00,AN50M0,事業管理TC,9.98,47964,-9326,38638,LAAN-2103-00763,1,OSI,C9D,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21030387,[P00]クラウド技術支援(Azure)(2021年06月分),P00,AN50M0,事業管理TC,278.57,1165888,-228007,937881,LAAN-2103-00808,6,OBP,X21,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21030388,[P00]Earth運用保守(2021年4月-6月),P00,AN50M0,事業管理TC,9.98,47964,-9326,38638,LAAN-2103-00824,1,OSI,C9D,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21030401,[P00]日産自動車様向け、U-COREクラウド化検証作業(4-6月）,P00,AN50N0,営業部TC,56,229936,-45005,184931,LAAN-2102-00026,2,FSD,E59,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21040006,[P00]日産総研様向けAzure運用保守_4-6月,P00,AN50N0,営業部TC,112.2,382153,-75485,306668,LAAN-2104-00011,1,OSI,C83,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21040151,[P00]ストリーム様JP1移行,P00,AN50N0,営業部TC,68.8,330653,-64297,266356,LAAN-2104-00505,1,FSD,C73,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21040155,[P00]クラウド技術支援追加(Azure)(2021年06月),P00,AN50M0,事業管理TC,13.2,89839,-17271,72568,LAAN-2104-00512,2,OBP,X21,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21050046,[P00]レリアン様　NW増強作業,P00,AN50M0,事業管理TC,42,201852,-39251,162601,LAAN-2105-00241,1,FSD,C81,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21050072,[P00]モスフードサービス様　ウイルス対策製品リプレース対応,P00,AN50M0,事業管理TC,60,288360,-56073,232287,LAAN-2105-00361,1,OSI,C81,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21050086,[P00]CLOUDiS支援(運用保守)(2021年06月分),P00,AN50M0,事業管理TC,304.5,1661427,-321599,1339828,LAAN-2105-00416,1,OSC,X21,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21050087,[P00]Azureマネージドサービス(2021年06月分),P00,AN50M0,事業管理TC,33,224598,-43181,181417,LAAN-2105-00416,2,OSI,X21,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21060051,[P00]RIOOH様R-3DGlobalBOPインフラ構築支援(2021年6月-7月),P00,AN50M0,事業管理TC,14,67284,-13083,54201,LAAN-2106-00200,1,FSD,E83,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ20120132,[P01]AOSMS原価（2021年度）,P01,,,562.48,2311245,-452402,1858843,,,,,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ20120173,[P01]モス・レリアンインフラ作業原価（2021年度）,P01,,,434,1810004,-354030,1455974,,,,,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21010015,[P01]AWS関連運用サービス（バスケット）＜2021＞※仕掛用,P01,,,0,0,0,0,,,,,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21010016,[P01]AWS関連運用サービス（バスケット）＜2021＞,P01,,,273,1390038,-269721,1120317,,,,,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21010018,[P01]AOSMSジョブ管理サービス原価（2021年度）,P01,,,39.5,189837,-36914,152923,,,,,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21010021,[P01]ANA AGMC AppGuardインフラSE保守作業費用（2021年1月-12月）,P01,,,20.5,98523,-19158,79365,,,,,,,
01,当月発生,202106,202106,原価部門間振替,原価用,AN5500,クラウド基盤部,,,,,,原価用,AN5500,クラウド基盤部,LAPJ21010064,[P01]Xythos保守[バスケット](FY2021),P01,,,125,600750,-116820,483930,,,,,,,
